id,source,prefecture,region,agency,agency_type,title,category,bid_method,announced_date,deadline,budget,spec_status,spec_reason,winner,win_price,detail_url,external_id
6852,官公需API,三重県,東海,三重県川越町,地方公共団体,令和8年度 受 第1号 川越幼稚園幼保連携型認定こども園化改修工事,電気工事,,2026-04-24,,,available,,,,https://www.town.kawagoe.mie.jp/_res/projects/default_project/_page_/001/004/118/nk220260519.docx,KKJ-bWllL2thd2Fnb2VfdG93bi8yMDI2LzIwMjYwNDI0XzAwNjAyCg==
6921,官公需API,三重県,東海,三重県川越町,地方公共団体,令和8年度 受 第1号 川越幼稚園幼保連携型認定こども園化改修工事,電気工事,,2026-04-21,,,available,,,,https://www.town.kawagoe.mie.jp/_res/projects/default_project/_page_/001/004/113/nk20260401.docx,KKJ-bWllL2thd2Fnb2VfdG93bi8yMDI2LzIwMjYwNDIxXzAwNjAxCg==
6975,官公需API,三重県,東海,三重県尾鷲市,地方公共団体,尾鷲市体育文化会館及び中央公民館耐震・長寿命化工事,電気工事,,2026-04-16,,,available,,,,https://www.city.owase.lg.jp/cmsfiles/contents/0000024/24573/01-koukoku-taiikukantaishin.pdf,KKJ-bWllL293YXNlX2NpdHkvMjAyNi8yMDI2MDQxNl8wMDAyMQo=
7061,官公需API,三重県,東海,独立行政法人国立高等専門学校機構鳥羽商船高等専門学校,国の機関,鳥羽商船高専２号館２３階教室照明設備更新工事,電気工事,,2026-04-08,,,unknown,,,,https://koho.s.toba-cmt.ac.jp/wp/wp-content/uploads/koukoku20260408.pdf,KKJ-bWllL3RvYmFfY250LzIwMjYvMjAyNjA0MDhfMDAwMTQK
7081,京都府入札情報公開,京都府,近畿,警察本部 総務部会計課,都道府県,交通信号機改修工事（８－協１）,電気工事,一般競争入札,2026-06-12,2026-06-23,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-1-交通信号機改修工事（８－協１）
7082,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立学校照明設備LED化改修工事（田辺・南山城支援）,電気工事,一般競争入札,2026-06-12,2026-06-19,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-2-府立学校照明設備LED化改修工事（田
7083,京都府入札情報公開,京都府,近畿,建設交通部 京都府南丹土木事務所,都道府県,管内一円（月読橋）府民協働型インフラ保全工事［Ｒ５―４０６］＜南丹７府民協働第９９９の２号の１の７＞管内一円（月読橋）橋りょう維持修繕工事＜南丹８橋修第９９９号の１の１＞,電気工事,一般競争入札,2026-06-12,2026-06-19,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-3-管内一円（月読橋）府民協働型インフラ
7084,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立学校照明設備LED化改修工事（南丹・丹波支援）,電気工事,一般競争入札,2026-06-12,2026-06-18,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-4-府立学校照明設備LED化改修工事（南
5083,官公需API,京都府,近畿,京都府舞鶴市,地方公共団体,西浄化センター管理棟建築電気設備（第25-1）工事,電気工事,,2026-06-11,,,unknown,,,,https://www.city.maizuru.kyoto.jp/shigoto/category/./.././cmsfiles/contents/0000015/15205/12koukokugaiyou.pdf,KKJ-a3lvdG8vbWFpenVydV9jaXR5LzIwMjYvMjAyNjA2MTFfMDA4MzIK
7085,京都府入札情報公開,京都府,近畿,建設交通部 京都府山城南土木事務所,都道府県,管内一円小修繕（照明）工事（山南８小修繕第１１号）,電気工事,指名競争入札,2026-06-10,2026-06-10,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-5-管内一円小修繕（照明）工事（山南８小
7086,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立学校照明設備LED化改修工事（京都八幡・宇治支援）,電気工事,一般競争入札,2026-06-05,2026-06-12,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-6-府立学校照明設備LED化改修工事（京
7087,京都府入札情報公開,京都府,近畿,教育庁 管理部管理課,都道府県,府立学校照明設備LED化改修工事（須知・福知山）,電気工事,一般競争入札,2026-06-05,2026-06-11,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-7-府立学校照明設備LED化改修工事（須
7088,京都府入札情報公開,京都府,近畿,建設交通部 京都府乙訓土木事務所,都道府県,管内一円小修繕（電気）工事（乙８小修繕第５号）,電気工事,指名競争入札,2026-06-04,2026-06-04,,available,,,,https://kyoto.efftis.jp/26000/CALS/PPI_P/pages/PPI_P/PiCtBaFi02/PiCtBaFi02start.vm,KYOTO-8-管内一円小修繕（電気）工事（乙８小修
